Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,International Share,Franchise
1,Avengers: Endgame,2797800564,858373000,1939427564,30.68,69.32,Yes
2,The Lion King,1654381934,543638043,1110743891,32.86,67.14,Yes
3,Frozen II,1447244586,477373578,969871008,32.99,67.00999999999999,Yes
4,Spider-Man: Far From Home,1131219645,390532085,740687560,34.52,65.47999999999999,Yes
5,Captain Marvel,1129727388,426829839,702897549,37.78,62.22,Yes
6,Toy Story 4,1073080329,434038008,639042321,40.45,59.55,Yes
7,Star Wars: The Rise of Skywalker,1072944222,515202542,557741680,48.02,51.98,Yes
8,Joker,1072507517,335451311,737056206,31.28,68.72,Yes
9,Aladdin,1046759512,355559216,691200296,33.97,66.03,Yes
10,Jumanji: The Next Level,800128637,316831246,483297391,39.6,60.4,Yes
11,Fast & Furious Presents: Hobbs & Shaw,760372607,173956935,586415672,22.88,77.12,Yes
12,Ne Zha Zhi Mo Tong Jiang Shi,742514069,3695533,738818536,0.5,99.5,No
13,Liu Lang Di Qiu,727714822,5875487,721839335,0.81,99.19,No
14,How to Train Your Dragon: The Hidden World,522587135,160799505,361787630,30.77,69.23,Yes
15,Maleficent: Mistress of Evil,489346495,113929605,375416890,23.28,76.72,Yes
16,It: Chapter Two,469566806,211593228,257973578,45.06,54.94,Yes
17,Wo he wo de zu guo,465418019,2323409,463094610,0.5,99.5,No
18,The Secret Life of Pets 2,446272914,158874395,287398519,35.6,64.4,Yes
19,PokÃ©mon: Detective Pikachu,432142736,144105346,288037390,33.35,66.65,Yes
20,Zhongguo jizhang,417850370,706572,417143798,0.17,99.83,No
21,Alita: Battle Angel,401900040,85838210,316061830,21.36,78.64,No
22,Godzilla: King of the Monsters,383299915,110500138,272799777,28.83,71.17,Yes
23,Once Upon a Timeâ¦in Hollywood,377312380,142502728,234809652,37.77,62.23,No
24,1917,366890181,159227644,207662537,43.4,56.6,No
25,Shazam!,363664533,140371656,223292877,38.6,61.4,Yes
26,Dumbo,353166307,114766307,238400000,32.5,67.5,Yes
27,Feng Kuang De Wai Xing Ren,326150303,0,326150303,0.0,100.0,No
28,John Wick: Chapter 3 â Parabellum,325674995,171016727,154658268,52.51,47.49,Yes
29,Knives Out,312722695,165364060,147358635,52.88,47.12,Yes
30,Us,256091919,175084580,81007339,68.37,31.629999999999995,No
31,Fei Chi Ren Sheng,255832826,0,255832826,0.0,100.0,No
32,Gisaengchung,254688898,53369745,201319153,20.95,79.05,No
33,Men in Black: International,253020464,80001807,173018657,31.62,68.38,Yes
34,Terminator: Dark Fate,250372367,62253077,188119290,24.86,75.14,Yes
35,Glass,246999039,111048468,135950571,44.96,55.04,Yes
36,Dark Phoenix,246356895,65845974,180510921,26.73,73.27,Yes
37,Lie huo ying xiong,245179530,290217,244889313,0.12,99.88,No
38,Shao Nian De Ni,230096929,1921657,228175272,0.84,99.16,No
39,Annabelle Comes Home,228517113,74152591,154364522,32.45,67.55,Yes
40,Ford v. Ferrari,224418748,117624357,106794391,52.41,47.59,No
41,Little Women,218786590,108095955,110690635,49.41,50.59,No
42,The Addams Family,200612027,97864733,102747294,48.78,51.22,No
43,Wu Sha,199276793,0,199276793,0.0,100.0,No
44,Downton Abbey,194694724,96853865,97840859,49.75,50.25,Yes
45,Yip Man 4,192617891,3956031,188661860,2.05,97.95,Yes
46,Rocketman,192137020,96368160,95768860,50.16,49.84,No
47,Tenki no Ko,190527439,7798703,182728736,4.09,95.91,No
48,The LEGO Movie 2: The Second Part,190131036,105806508,84324528,55.65,44.35,Yes
49,Abominable,188125862,60761390,127364472,32.3,67.7,No
50,The White Storm 2: Drug Lords,185427900,0,185427900,0.0,100.0,No
51,Pan Deng Zhe,171110959,487157,170623802,0.28,99.72,No
52,Gemini Man,166623705,48546770,118076935,29.14,70.86,No
53,Spies in Disguise,165139629,66757013,98382616,40.42,59.58,No
54,Escape Room,155313078,57000756,98312322,36.7,63.3,No
55,Yesterday,153108647,73286650,79821997,47.87,52.13,No
56,The Angry Birds Movie 2,152012772,41657076,110355696,27.4,72.6,Yes
57,Hustlers,150472713,104963598,45509115,69.76,30.239999999999995,No
58,Ad Astra,135432019,50188370,85243649,37.06,62.94,No
59,Angel Has Fallen,133365452,69030436,64335016,51.76,48.24,Yes
60,Yin He Bu Xi Ban,127897924,0,127897924,0.0,100.0,No
61,Midway,126151409,56846802,69304607,45.06,54.94,No
62,The Upside,125818440,108235497,17582943,86.03,13.969999999999999,Yes
63,Extreme Crisis,124169976,0,124169976,0.0,100.0,No
